open_time,open,high,low,close
1787857200000,80120.0,80252.0,80078.0,80122.5
1787858100000,80122.4,80199.7,80000.0,80143.0
1787859000000,80143.0,80195.3,79939.7,79969.9
1787859900000,79970.0,80019.3,79800.0,79877.9
1787860800000,79877.9,80017.4,79843.3,79922.2
1787861700000,79922.2,80090.9,79912.9,79952.9
1787862600000,79952.9,80016.9,79937.2,79980.1
1787863500000,79980.1,80066.3,79925.6,80066.3
1787864400000,80066.3,80129.5,79984.7,80059.7
1787865300000,80059.8,80095.9,79947.3,79999.7
1787866200000,79999.7,80092.5,79936.4,79997.6
1787867100000,79997.5,80150.0,79955.7,80149.9
1787868000000,80149.9,80285.7,80149.9,80207.2
1787868900000,80207.2,80399.5,80160.8,80200.4
1787869800000,80200.3,80260.1,80110.1,80247.7
1787870700000,80247.7,80266.5,80176.4,80264.9
1787871600000,80264.9,80266.6,80103.9,80130.6
1787872500000,80130.6,80359.0,80091.1,80281.5
1787873400000,80281.4,80285.8,80206.1,80223.1
1787874300000,80223.1,80282.3,80150.0,80208.9
1787875200000,80208.9,80239.0,80110.6,80175.9
1787876100000,80175.9,80430.6,80175.9,80380.0
1787877000000,80380.1,80469.9,80312.8,80383.9
1787877900000,80383.9,80680.0,80306.3,80537.5
1787878800000,80537.5,80845.0,80537.4,80710.7
1787879700000,80710.7,81150.0,80643.8,81095.9
1787880600000,81095.9,81500.0,80768.7,80809.7
1787881500000,80809.6,80861.6,80386.6,80467.1
1787882400000,80467.1,80467.1,80190.0,80200.1
1787883300000,80200.0,80268.0,79878.0,79883.0
1787884200000,79883.0,80128.6,79785.5,80004.9
1787885100000,80004.9,80005.0,79659.2,79888.1
1787886000000,79888.0,79947.3,79731.9,79836.7
1787886900000,79836.7,80017.4,79836.7,79871.5
1787887800000,79871.4,79960.0,79777.0,79788.8
1787888700000,79788.7,79836.0,79753.8,79783.3
1787889600000,79783.3,79828.9,79560.2,79822.4
1787890500000,79822.3,79942.3,79784.8,79785.0
1787891400000,79785.0,79819.2,79607.2,79684.8
1787892300000,79684.7,79720.0,79600.0,79616.3
1787893200000,79616.3,79699.0,79522.3,79612.9
1787894100000,79613.0,79708.6,79540.0,79699.9
1787895000000,79699.8,79843.5,79675.3,79786.3
1787895900000,79786.3,79847.3,79614.3,79657.7
1787896800000,79657.7,79887.9,79657.7,79877.1
1787897700000,79877.1,79877.2,79769.9,79800.0
1787898600000,79799.9,79849.0,79763.8,79834.7
1787899500000,79834.7,79971.0,79834.6,79863.9
